state_(land),district_(kreis),regional_designation,municipality_name_(gemeindename),municipality_designation,area_km2,population_total,male,female,per_km2,postal_code,longitude,latitude
Schleswig-Holstein,Dithmarschen,Kreis,Lunden,,4.65,1740,882,858,374,25774,"9,024249","54,330568"
Schleswig-Holstein,Dithmarschen,Kreis,Norderheistedt,,4.33,115,57,58,27,25779,"9,146139","54,245331"
Schleswig-Holstein,Dithmarschen,Kreis,Pahlen,,10.80,1158,586,572,107,25794,"9,296387","54,267813"
Schleswig-Holstein,Dithmarschen,Kreis,Rehm-Flehde-Bargen,,14.63,544,275,269,37,25776,"9,036287","54,303981"
Schleswig-Holstein,Dithmarschen,Kreis,Sankt Annen,,14.89,309,166,143,21,25776,"9,07975","54,345413"
Schleswig-Holstein,Dithmarschen,Kreis,Schalkholz,,12.52,571,283,288,46,25782,"9,257028","54,246244"
Schleswig-Holstein,Dithmarschen,Kreis,Schlichting,,12.50,245,126,119,20,25779,"9,089378","54,31014"
Schleswig-Holstein,Dithmarschen,Kreis,Tellingstedt,,21.10,2706,1298,1408,128,25782,"9,2822","54,219944"
Schleswig-Holstein,Dithmarschen,Kreis,Tielenhemme,,12.68,163,77,86,13,25794,"9,398414","54,27746"
Schleswig-Holstein,Dithmarschen,Kreis,Wallen,,1.86,31,14,17,17,25788,"9,269563","54,284766"
Schleswig-Holstein,Dithmarschen,Kreis,Welmbüttel,,7.60,397,192,205,52,25782,"9,246826","54,196873"
Schleswig-Holstein,Dithmarschen,Kreis,Westerborstel,,4.14,113,51,62,27,25782,"9,260601","54,220127"
Schleswig-Holstein,Dithmarschen,Kreis,Wiemerstedt,,5.08,151,83,68,30,25779,"9,11111","54,269259"
Schleswig-Holstein,Dithmarschen,Kreis,Wrohm,,11.45,740,370,370,65,25799,"9,379505","54,212642"
Schleswig-Holstein,Dithmarschen,Kreis,Süderdorf,,16.21,368,191,177,23,25782,"9,343678","54,220732"
Schleswig-Holstein,Dithmarschen,Kreis,Süderheistedt,,8.44,543,271,272,64,25779,"9,148463","54,23483"
Schleswig-Holstein,Dithmarschen,Kreis,Hemmingstedt,,16.01,2827,1397,1430,177,25770,"9,072111","54,147509"
Schleswig-Holstein,Dithmarschen,Kreis,Lieth,,4.66,376,170,206,81,25770,"9,060773","54,15531"
Schleswig-Holstein,Dithmarschen,Kreis,Lohe-Rickelshof,,5.39,2010,953,1057,373,25746,"9,065603","54,187725"
Schleswig-Holstein,Dithmarschen,Kreis,Neuenkirchen,,25.14,951,486,465,38,25792,"8,987884","54,235602"
Schleswig-Holstein,Dithmarschen,Kreis,Norderwöhrden,,18.47,243,129,114,13,25746,"9,000232","54,192783"
Schleswig-Holstein,Dithmarschen,Kreis,Nordhastedt,,26.56,2790,1379,1411,105,25785,"9,182991","54,17205"
Schleswig-Holstein,Dithmarschen,Kreis,Ostrohe,,6.66,854,415,439,128,25746,"9,130804","54,214"
Schleswig-Holstein,Dithmarschen,Kreis,Stelle-Wittenwurth,,10.71,473,221,252,44,25795,"9,066849","54,254357"
Schleswig-Holstein,Dithmarschen,Kreis,Wöhrden,,21.77,1199,582,617,55,25797,"8,994508","54,165463"
Schleswig-Holstein,Dithmarschen,Kreis,Weddingstedt,,17.89,2377,1161,1216,133,25795,"9,088863","54,239275"
Schleswig-Holstein,Dithmarschen,Kreis,Wesseln,,3.76,1372,674,698,365,25746,"9,075443","54,208327"
Schleswig-Holstein,Dithmarschen,Kreis,Albersdorf,,17.12,3766,1771,1995,220,25767,"9,283995","54,146557"
Schleswig-Holstein,Dithmarschen,Kreis,Arkebek,,6.92,232,126,106,34,25767,"9,250362","54,160197"
Schleswig-Holstein,Dithmarschen,Kreis,Bargenstedt,,11.90,946,462,484,79,25704,"9,144199","54,095594"
Schleswig-Holstein,Dithmarschen,Kreis,Barlt,,22.88,741,372,369,32,25719,"9,058002","54,012444"
Schleswig-Holstein,Dithmarschen,Kreis,Bunsoh,,11.75,771,385,386,66,25767,"9,320225","54,165522"
Schleswig-Holstein,Dithmarschen,Kreis,Busenwurth,,10.09,307,150,157,30,25719,"9,041298","54,041407"
Schleswig-Holstein,Dithmarschen,Kreis,Elpersbüttel,,30.17,878,446,432,29,25704,"9,047156","54,072963"
Schleswig-Holstein,Dithmarschen,Kreis,Epenwöhrden,,13.52,760,381,379,56,25704,"9,052894","54,112805"
Schleswig-Holstein,Dithmarschen,Kreis,Gudendorf,,6.04,425,221,204,70,25693,"9,1082","54,024736"
Schleswig-Holstein,Dithmarschen,Kreis,Immenstedt,,3.09,110,51,59,36,25767,"9,299737","54,180686"
Schleswig-Holstein,Dithmarschen,Kreis,Krumstedt,,15.89,531,263,268,33,25727,"9,177954","54,068684"
Schleswig-Holstein,Dithmarschen,Kreis,Meldorf, Stadt,21.26,7195,3438,3757,338,25704,"9,068784","54,090945"
Schleswig-Holstein,Dithmarschen,Kreis,Nindorf,,8.75,1113,571,542,127,25704,"9,114943","54,086722"
Schleswig-Holstein,Dithmarschen,Kreis,Odderade,,11.27,331,159,172,29,25785,"9,190795","54,139384"
Schleswig-Holstein,Dithmarschen,Kreis,Offenbüttel,,13.95,252,122,130,18,25767,"9,357994","54,169186"
Schleswig-Holstein,Dithmarschen,Kreis,Osterrade,,17.09,403,208,195,24,25767,"9,353264","54,190212"
Schleswig-Holstein,Dithmarschen,Kreis,Sarzbüttel,,13.39,712,364,348,53,25785,"9,184027","54,118843"
Schleswig-Holstein,Dithmarschen,Kreis,Schafstedt,,18.16,1295,649,646,71,25725,"9,293675","54,079915"
Schleswig-Holstein,Dithmarschen,Kreis,Schrum,,5.01,79,45,34,16,25782,"9,251667","54,187229"
Schleswig-Holstein,Dithmarschen,Kreis,Wennbüttel,,4.59,89,44,45,19,25767,"9,325945","54,139359"
Schleswig-Holstein,Dithmarschen,Kreis,Windbergen,,17.31,743,382,361,43,25729,"9,117779","54,044978"
Schleswig-Holstein,Dithmarschen,Kreis,Wolmersdorf,,6.11,328,158,170,54,25704,"9,103978","54,077114"
Schleswig-Holstein,Dithmarschen,Kreis,Nordermeldorf,,34.10,587,314,273,17,25704,"9,013736","54,112068"
Schleswig-Holstein,Dithmarschen,Kreis,Tensbüttel-Röst,,19.36,655,326,329,34,25767,"9,228605","54,105741"
Schleswig-Holstein,Dithmarschen,Kreis,Büsum,,8.48,5002,2315,2687,590,25761,"8,859577","54,130341"
Schleswig-Holstein,Dithmarschen,Kreis,Büsumer Deichhausen,,2.87,351,154,197,122,25761,"8,890088","54,136175"
Schleswig-Holstein,Dithmarschen,Kreis,Friedrichsgabekoog,,8.62,57,28,29,7,25764,"8,941082","54,157516"
Schleswig-Holstein,Dithmarschen,Kreis,Hedwigenkoog,,16.36,207,109,98,13,25761,"8,840953","54,177985"
Schleswig-Holstein,Dithmarschen,Kreis,Hellschen-Heringsand-Unterschaar,,7.02,158,83,75,23,25764,"8,872882","54,194536"
Schleswig-Holstein,Dithmarschen,Kreis,Hillgroven,,3.60,51,32,19,14,25764,"8,874901","54,227921"
Schleswig-Holstein,Dithmarschen,Kreis,Norddeich,,6.90,430,213,217,62,25764,"8,899964","54,218049"
Schleswig-Holstein,Dithmarschen,Kreis,Oesterdeichstrich,,4.64,220,115,105,47,25761,"8,900566","54,158891"
Schleswig-Holstein,Dithmarschen,Kreis,Reinsbüttel,,6.83,383,195,188,56,25764,"8,911057","54,179073"
Schleswig-Holstein,Dithmarschen,Kreis,Schülp,,9.27,390,195,195,42,25764,"8,929943","54,241971"
Schleswig-Holstein,Dithmarschen,Kreis,Strübbel,,4.40,75,36,39,17,25792,"8,971812","54,260389"
Schleswig-Holstein,Dithmarschen,Kreis,Süderdeich,,6.64,435,214,221,66,25764,"8,91131","54,201711"
Schleswig-Holstein,Dithmarschen,Kreis,Warwerort,,4.58,219,116,103,48,25761,"8,921723","54,141177"
Schleswig-Holstein,Dithmarschen,Kreis,Wesselburen, Stadt,5.13,3394,1641,1753,662,25764,"8,920686","54,212159"
Schleswig-Holstein,Dithmarschen,Kreis,Wesselburener Deichhausen,,5.07,111,52,59,22,25764,"8,937237","54,174947"
Schleswig-Holstein,Dithmarschen,Kreis,Wesselburenerkoog,,21.89,156,80,76,7,25764,"8,876475","54,239438"
Schleswig-Holstein,Dithmarschen,Kreis,Westerdeichstrich,,7.50,782,376,406,104,25761,"8,863517","54,162006"
Schleswig-Holstein,Dithmarschen,Kreis,Oesterwurth,,14.19,232,127,105,16,25764,"8,991292","54,211016"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Geesthacht, Stadt,33.25,33112,16240,16872,996,21502,"10,371733","53,433112"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Lauenburg/ Elbe, Stadt,9.56,11599,5756,5843,1213,21481,"10,554267","53,374189"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Mölln, Stadt,25.05,19592,9316,10276,782,23879,"10,691022","53,629521"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Ratzeburg, Stadt,30.29,14844,7045,7799,490,23909,"10,774492","53,699024"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Schwarzenbek, Stadt,11.65,17063,8403,8660,1465,21493,"10,477663","53,502645"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Wentorf bei Hamburg,,6.87,13448,6364,7084,1957,21465,"10,2519","53,491012"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Behlendorf,,10.25,402,187,215,39,23919,"10,667846","53,699475"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Berkenthin,,10.34,2214,1077,1137,214,23919,"10,638221","53,734488"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Bliestorf,,10.35,617,296,321,60,23847,"10,602527","53,768797"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Düchelsdorf,,3.01,159,84,75,53,23847,"10,580373","53,737072"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Göldenitz,,5.06,238,115,123,47,23919,"10,631501","53,722025"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Kastorf,,6.90,1184,586,598,172,23847,"10,570134","53,748875"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Klempau,,10.07,606,330,276,60,23628,"10,660387","53,762851"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Krummesse,,3.35,1603,770,833,479,23628,"10,641961","53,780123"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Niendorf bei Berkenthin,,3.99,188,87,101,47,23919,"10,626158","53,702417"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Rondeshagen,,9.51,814,407,407,86,23919,"10,629717","53,753642"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Sierksrade,,4.00,436,230,206,109,23847,"10,600344","53,736555"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Alt-Mölln,,6.44,832,418,414,129,23881,"10,658165","53,622775"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Bälau,,6.50,222,106,116,34,23881,"10,621739","53,616381"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Borstorf,,8.64,309,152,157,36,23881,"10,564234","53,613074"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Breitenfelde,,12.54,2123,1080,1043,169,23881,"10,632977","53,605112"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Grambek,,12.66,572,291,281,45,23883,"10,68068","53,574025"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Hornbek,,5.89,208,103,105,35,21514,"10,648548","53,5589"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Lehmrade,,11.40,604,294,310,53,23883,"10,752721","53,5947"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Niendorf/ Stecknitz,,8.41,674,330,344,80,23881,"10,609244","53,587228"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Schretstaken,,8.47,509,264,245,60,21493,"10,539293","53,586533"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Talkau,,4.88,537,269,268,110,21493,"10,568741","53,576852"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Woltersdorf,,7.90,342,177,165,43,21516,"10,640176","53,576862"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Besenthal,,12.65,97,52,45,8,23899,"10,743239","53,530139"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Bröthen,,10.69,320,168,152,30,21514,"10,667034","53,480281"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Büchen,,16.85,6524,3207,3317,387,21514,"10,616482","53,480926"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Fitzen,,9.11,389,207,182,43,21514,"10,64667","53,493942"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Göttin,,5.21,67,31,36,13,21514,"10,70343","53,533746"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Gudow,,42.25,1812,917,895,43,23899,"10,77219","53,555336"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Güster,,7.78,1295,638,657,166,21514,"10,680583","53,53952"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Klein Pampau,,4.17,678,336,342,163,21514,"10,586656","53,512681"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Langenlehsten,,23.37,188,91,97,8,21514,"10,740533","53,499907"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Müssen,,11.46,1245,606,639,109,21516,"10,562546","53,494346"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Roseburg,,16.24,540,267,273,33,21514,"10,624215","53,530505"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Schulendorf,,11.38,458,229,229,40,21516,"10,561815","53,47331"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Siebeneichen,,4.68,303,155,148,65,21514,"10,618693","53,510828"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Tramm,,6.74,337,167,170,50,21516,"10,614693","53,56324"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Witzeeze,,10.46,943,438,505,90,21514,"10,610144","53,452652"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Aumühle,,3.48,3280,1596,1684,943,21521,"10,313492","53,528598"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Börnsen,,8.41,4668,2285,2383,555,21039,"10,285588","53,476743"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Dassendorf,,7.94,3422,1701,1721,431,21521,"10,372665","53,488608"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Escheburg,,8.91,3942,1965,1977,442,21039,"10,309429","53,46713"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Hamwarde,,6.67,869,428,441,130,21502,"10,421397","53,452847"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Hohenhorn,,6.93,535,264,271,77,21526,"10,367611","53,475734"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Kröppelshagen-Fahrendorf,,8.37,1366,688,678,163,21529,"10,315197","53,488589"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Wiershop,,5.15,223,114,109,43,21502,"10,451895","53,442501"
Schleswig-Holstein,Herzogtum Lauenburg,Kreis,Wohltorf,,5.97,2600,1259,1341,436,21521,"10,291254","53,517253"
