Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Alsdorf (einschl. Kaschenbach);143;34;23.776223776223777
Alsdorf, Stadt;23901;0;0.0
Alsenz;864;220;25.462962962962962
Alsfeld, Stadt;9293;2074;22.317873668352522
Alsheim;954;292;30.60796645702306
Alsleben (Saale), Stadt;1478;730;49.39106901217862
Alt Bennebek;182;28;15.384615384615385
Alt Bukow;246;96;39.02439024390244
Alt Duvenstedt;1028;188;18.28793774319066
Alt Krenzlin;342;156;45.6140350877193
Alt Meteln;598;262;43.812709030100336
Alt Schwerin;270;147;54.44444444444444
Alt Sührkow;225;85;37.77777777777778
Alt Tellin;179;82;45.81005586592179
Alt Tucheband;411;246;59.85401459854015
Alt Zachun;217;80;36.866359447004605
Alt Zauche-Wußwerk/Stara Niwa-Wózwjerch;260;134;51.53846153846154
Alt-Mölln;398;98;24.623115577889447
Altbach;3314;615;18.55763427881714
Altdorf;4470;738;16.51006711409396
Altdorf b.Nürnberg, St;10476;1548;14.776632302405499
Altdorf, M;6441;1410;21.891010712622265
Altdöbern;1577;630;39.94927076727964
Altefähr;661;248;37.518910741301056
Alteglofsheim;2248;429;19.083629893238435
Altena, Stadt;9550;2223;23.277486910994764
Altenahr;450;75;16.666666666666668
Altenbamberg;314;63;20.063694267515924
Altenbeken;5890;1343;22.801358234295417
Altenberg, Stadt;5102;2581;50.58800470403763
Altenberga;498;228;45.78313253012048
Altenberge;7088;595;8.394469525959368
Altenbeuthen;135;91;67.4074074074074
Altenbuch;877;228;25.997719498289623
Altenburg, Stadt;17750;7712;43.44788732394366
Altendiez;741;197;26.58569500674764
Altendorf;2098;547;26.072449952335557
Altenglan;957;327;34.1692789968652
Altenhagen;174;106;60.91954022988506
Altenhausen;719;282;39.221140472879
Altenhof;314;117;37.261146496815286
Altenholz;6910;654;9.464544138929089
Altenkirchen;888;406;45.72072072072072
Altenkirchen (Westerwald), Stadt;1929;765;39.657853810264385
Altenkrempe;568;106;18.661971830985916
Altenkunstadt;3560;824;23.146067415730336
Altenmarkt a.d.Alz;2793;461;16.505549588256354
Altenmedingen;746;129;17.292225201072387
Altenmoor;133;11;8.270676691729323
Altenmünster;3103;634;20.43184015468901
Altenpleen;476;307;64.49579831932773
Altenriet;1323;297;22.448979591836736
Altenstadt;9665;2078;21.50025866528712
Altenstadt a.d.Waldnaab;2883;718;24.904613250086715
Altenstadt, M;3123;939;30.06724303554275
Altensteig, Stadt;5690;1523;26.766256590509666
Altenthann;1118;297;26.56529516994633
Altentreptow, Stadt;2114;1023;48.39167455061495
Alterkülz;197;27;13.705583756345177
Altertheim;1396;224;16.045845272206304
Altfraunhofen;1609;285;17.712865133623367
Althegnenberg;1370;236;17.226277372262775
Altheim;1797;398;22.1480244852532
Altheim (Alb);1155;304;26.32034632034632
Althengstett;5007;897;17.914919113241464
Althornbach;295;99;33.559322033898304
Althütte;2780;862;31.007194244604317
Althüttendorf;330;115;34.84848484848485
Altkalen;374;230;61.49732620320856
Altlandsberg, Stadt;6812;2751;40.38461538461539
Altlay;196;53;27.040816326530614
Altleiningen;632;215;34.01898734177215
Altlußheim;3796;910;23.972602739726028
Altmannstein, M;4683;1013;21.631432842195174
Altmittweida;1046;501;47.896749521988525
Altmärkische Höhe;1175;488;41.53191489361702
Altmärkische Wische;532;224;42.10526315789474
Altomünster, M;5392;977;18.119436201780417
Altrich;524;113;21.564885496183205
Altrip;4789;1107;23.115472958864064
Altscheid;50;3;6.0
Altshausen;2210;469;21.221719457013574
Altstrimmig;147;35;23.80952380952381
Altusried, M;7062;1341;18.988954970263382
