Super_Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
Eschenbach;1453;359;24.707501720578115
Eschenbach i.d.OPf., St;2402;555;23.105745212323065
Eschenbergen;427;194;45.433255269320846
Eschenburg;6046;1621;26.81111478663579
Eschenlohe;1023;193;18.866080156402738
Eschershausen, Stadt;1341;448;33.407904548844144
Eschfeld (einschl. Reiff, Roscheid und Sengerich);159;20;12.578616352201259
Eschlkam, M;2263;813;35.92576226248343
Eschwege, Kreisstadt;11374;2240;19.694039036398806
Eschweiler, Stadt;30907;0;0.0
Esens, Stadt;3440;598;17.38372093023256
Esgrus;381;46;12.073490813648293
Eslarn, M;1870;606;32.406417112299465
Eslohe (Sauerland);5905;636;10.770533446232006
Espelkamp, Stadt;13747;4163;30.28297082999927
Espenau;3462;662;19.121894858463317
Essel;577;145;25.12998266897747
Esselbach;1386;297;21.428571428571427
Esselborn;162;52;32.098765432098766
Essen (Oldenburg);4912;1108;22.55700325732899
Essen, Stadt (Teil);315678;54870;17.381635717408244
Essenbach, M;7631;1685;22.08098545406893
Essenheim;2257;278;12.31723526805494
Essing, M;705;130;18.43971631205674
Essingen;5144;1021;19.84836702954899
Esslingen am Neckar, Stadt;47604;6187;12.996806991009159
Estenfeld;3795;464;12.2266139657444
Esterwegen;2431;659;27.108185931715344
Esthal;893;197;22.06047032474804
Estorf;1684;366;21.73396674584323
Etgert;36;5;13.88888888888889
Etschberg;239;38;15.899581589958158
Ettal;378;53;14.02116402116402
Ettenheim, Stadt;8592;1612;18.761638733705773
Ettenstatt;631;100;15.847860538827259
Ettersburg;365;115;31.506849315068493
Ettinghausen;152;48;31.57894736842105
Ettlingen, Stadt;23773;3460;14.554326336600345
Ettringen;3201;862;26.929084661043422
Etzbach;482;206;42.738589211618255
Etzelwang;953;160;16.7890870933893
Etzenricht;1058;236;22.3062381852552
Etzleben;153;58;37.908496732026144
Euerbach;2055;493;23.990267639902676
Euerdorf, M;960;0;0.0
Eulenberg (in Petersberg enthalten);0;0;
Eulenbis;193;62;32.12435233160622
Eulgem;73;34;46.57534246575342
Eurasburg;4094;672;16.4142647777235
Euscheid;64;14;21.875
Euskirchen, Stadt;34168;7728;22.617653945211895
Eutin, Stadt;11380;1680;14.76274165202109
Eutingen im Gäu;3762;859;22.833599149388622
Eußenheim;2251;334;14.83784984451355
Eußerthal;251;73;29.083665338645417
Eversmeer;417;123;29.496402877697843
Everswinkel;6560;705;10.746951219512194
Evessen;654;80;12.232415902140673
Ewighausen;109;36;33.027522935779814
Extertal;7304;1731;23.69934282584885
Eydelstedt;878;184;20.956719817767652
Eyendorf;608;111;18.25657894736842
Eystrup;1760;526;29.886363636363637
Eßbach;144;84;58.333333333333336
Eßlingen;57;16;28.07017543859649
Eßweiler;145;63;43.44827586206897
Fachbach;485;133;27.422680412371133
Fahrdorf;1283;163;12.704598597038192
Fahren;73;7;9.58904109589041
Fahrenbach;1774;410;23.11161217587373
Fahrenkrug;857;173;20.186697782963826
Fahrenwalde;168;87;51.785714285714285
Fahrenzhausen;3147;629;19.987289482046393
Faid;427;98;22.950819672131146
Falkenberg;3799;1036;27.270334298499606
Falkenberg, M;692;82;11.84971098265896
Falkenberg/Elster, Stadt;3957;1580;39.92923932271923
Falkenfels;746;215;28.820375335120644
Falkenhagen (Mark);359;194;54.03899721448468
Falkensee, Stadt;30639;7274;23.740983713567676
Falkenstein;84;20;23.80952380952381
Falkenstein, M;2198;583;26.524112829845315
Falkenstein/Harz, Stadt;3354;1460;43.53011329755516
Falkenstein/Vogtl., Stadt;4796;2049;42.72310258548791
Fambach;1041;480;46.10951008645533
Farchant;2366;432;18.258664412510566
Fargau-Pratjau;409;83;20.293398533007334
Farnstädt;1002;485;48.40319361277445
Farschweiler;242;75;30.99173553719008
Farven;372;57;15.32258064516129
Faulbach;1800;370;20.555555555555557
Faulenrost;320;145;45.3125
Faßberg;4072;771;18.93418467583497
Fedderingen;142;33;23.239436619718308
Fehl-Ritzhausen;333;103;30.93093093093093
Fehmarn, Stadt;8701;1463;16.8141592920354
Fehrbellin;5678;2143;37.742162733356814
Feichten a.d.Alz;894;150;16.778523489932887
Feilbingert;507;130;25.641025641025642
Feilitzsch;1809;379;20.95080154781647
Feldafing;2748;254;9.243085880640466
Feldatal;1631;365;22.378908645003065
Feldberg (Schwarzwald);974;145;14.8870636550308
Feldberger Seenlandschaft;3049;1247;40.89865529681863
Felde;987;105;10.638297872340425
Feldhorst;299;67;22.40802675585284
Feldkirchen;5424;754;13.90117994100295
Feldkirchen-Westerham;7034;1287;18.296843901052032
Felixsee/Feliksowy Jazor;1025;582;56.78048780487805
Fell;757;175;23.11756935270806
Fellbach, Stadt;23522;3437;14.611852733611087
Fellen;602;80;13.289036544850498
Fellheim;673;157;23.328380386329865
Felm;645;86;13.333333333333334
Felsberg, Stadt;6875;1578;22.952727272727273
Fensdorf;160;20;12.5
Fensterbach;1750;395;22.571428571428573
Ferdinandshof;1231;706;57.35174654752234
Ferna;288;110;38.19444444444444
Fernwald;4563;731;16.020162174008327
Ferschweiler;302;58;19.205298013245034
Feucht, M;9024;1633;18.09618794326241
Feuchtwangen, St;7537;1747;23.178983680509486
Feuerscheid;144;18;12.5
Feusdorf;178;33;18.53932584269663
Fichtelberg;1211;294;24.277456647398843
Fichtenau;2803;889;31.716018551551908
Fichtenberg;1877;488;25.998934469898774
Fichtenhöhe;239;135;56.48535564853557
Fichtwald;373;158;42.35924932975871
Fiefbergen;305;60;19.672131147540984
Fiersbach;128;35;27.34375
Filderstadt, Stadt;25211;3874;15.366308357463012
Filsen;235;34;14.46808510638298
Filsum;1235;260;21.05263157894737
Filz;44;8;18.181818181818183
Fincken;279;137;49.10394265232975
Finkenbach-Gersweiler;201;46;22.885572139303484
Finkenthal;140;66;47.142857142857146
Finne;759;354;46.640316205533594
Finneland;718;306;42.618384401114206
Finnentrop;10090;1814;17.978196233894945
Finning;1355;181;13.357933579335793
Finningen;1294;275;21.25193199381762
Finsing;2956;562;19.012178619756426
Finsterwalde, Stadt;9441;3199;33.884122444656285
Fintel;1619;387;23.903644224830142
Firrel;432;128;29.62962962962963
Fisch;148;30;20.27027027027027
Fischach, M;3139;731;23.28767123287671
Fischbach;675;165;24.444444444444443
Fischbach bei Dahn;460;130;28.26086956521739
Fischbach-Oberraden (in Utscheid enthalten);0;0;
Fischbachau;3892;849;21.813977389516957
Fischbachtal;1849;341;18.44240129799892
Fischen i.Allgäu;2072;261;12.596525096525097
Fischerbach;1163;175;15.047291487532243
Fischingen;505;56;11.089108910891088
Fitzbek (einschl. Rade);267;48;17.97752808988764
Fitzen;223;58;26.00896860986547
Flachslanden, M;1733;437;25.216387766878245
Flacht;394;95;24.111675126903553
Fladungen, St;1468;0;0.0
Flammersfeld;453;137;30.242825607064017
Flechtingen;1787;676;37.82876329043089
Fleckeby;1026;175;17.056530214424953
Flein;4830;795;16.459627329192546
Fleischwangen;436;90;20.642201834862384
Flemlingen;143;30;20.97902097902098
Flensburg, Stadt;54700;7527;13.760511882998172
Fleringen;156;22;14.102564102564102
Flieden;5992;1458;24.332443257676903
Flieth-Stegelitz;273;121;44.32234432234432
Fließem;220;37;16.818181818181817
Flintbek;3757;552;14.692573862124036
Flintsbach a.Inn;2004;331;16.51696606786427
Floh-Seligenthal;3916;1580;40.34729315628192
Flomborn;407;135;33.16953316953317
Flonheim;1071;252;23.529411764705884
Florstadt, Stadt;5735;1368;23.853530950305142
Flossenbürg;1105;201;18.190045248868778
Floß, M;2295;585;25.49019607843137
Fluorn-Winzeln;1975;576;29.164556962025316
Fluterschen;219;71;32.42009132420091
Flußbach (einschl. Willwerscheid);176;51;28.977272727272727
Flöha, Stadt;6585;2768;42.03492786636295
Flörsbachtal;1605;430;26.79127725856698
Flörsheim am Main, Stadt;12353;2195;17.768963004938072
Flörsheim-Dalsheim;964;235;24.37759336099585
Flöthe;656;166;25.304878048780488
Fockbek;3294;583;17.698846387370978
Fockendorf;450;235;52.22222222222222
Fohren-Linden;155;40;25.806451612903224
Forbach;2788;569;20.408895265423244
Forchheim;926;195;21.05831533477322
Forchheim, GKSt;19212;3408;17.738913179262962
Forchtenberg, Stadt;3280;913;27.835365853658537
Forheim;399;64;16.040100250626566
Forst;5117;1183;23.119015047879618
Forst (Eifel);155;35;22.580645161290324
Forst (Hunsrück);36;7;19.444444444444443
Forst (Lausitz)/Baršć (Łužyca), Stadt;10643;4863;45.6920041341727
Forst an der Weinstraße;253;13;5.138339920948616
Forstern;2390;388;16.234309623430963
Forstinning;2353;397;16.87207819804505
Forstmehren;71;22;30.985915492957748
Framersheim;525;181;34.476190476190474
Frammersbach, M;3024;409;13.525132275132275
Frankelbach;224;69;30.803571428571427
Frankenau, Nationalparkstadt;2004;363;18.11377245508982
Frankenberg (Eder), Philipp-Soldan-Stadt;11034;2853;25.856443719412724
Frankenberg/Sa., Stadt, Garnisonsstadt;8468;3955;46.70524326877657
Frankenblick;3777;1674;44.3208895949166
Frankendorf;90;40;44.44444444444444
Frankeneck;494;160;32.388663967611336
Frankenfeld;295;62;21.016949152542374
Frankenhardt;3221;822;25.520024837007142
Frankenheim/Rhön;481;241;50.103950103950105
Frankenstein;287;96;33.44947735191638
Frankenthal;532;284;53.38345864661654
Frankenthal (Pfalz), Stadt;24504;6191;25.26526281423441
Frankenwinheim;702;98;13.96011396011396
Frankfurt (Oder), Stadt;31293;10960;35.02380724123606
Frankfurt am Main, Stadt (Teil);348697;34516;9.898565229984772
Frankweiler;273;78;28.571428571428573
Franzburg, Stadt;626;349;55.75079872204473
Franzenheim;152;35;23.026315789473685
Frasdorf;2045;449;21.9559902200489
Frauenau;1766;371;21.0079275198188
Frauenberg;161;48;29.81366459627329
Frauendorf;410;230;56.09756097560975
Frauenneuharting;1032;212;20.54263565891473
Frauenprießnitz;478;223;46.65271966527197
Frauenstein, Stadt;1803;937;51.96894065446478
Fraunberg;2440;472;19.34426229508197
Fraureuth;3489;1403;40.212095156205216
Frechen, Stadt;30895;4761;15.41026055996116
Freckenfeld;569;133;23.374340949033392
Freden (Leine);2921;651;22.286888052036975
Fredenbeck;3288;826;25.121654501216543
Fredersdorf-Vogelsdorf;10333;3632;35.14952095228878
Fredesdorf;232;77;33.189655172413794
Frei-Laubersheim;414;76;18.357487922705314
Freiamt;2850;462;16.210526315789473
Freiberg am Neckar, Stadt;9658;1549;16.038517291364673
Freiberg, Stadt, Universitätsstadt;22890;8726;38.1214504150284
Freiburg (Elbe), Flecken;1157;264;22.817631806395852
Freiburg im Breisgau, Stadt;137202;12011;8.754245564933456
Freienbessingen;125;76;60.8
Freienhagen;163;58;35.58282208588957
Freienorla;190;87;45.78947368421053
Freiensteinau;2227;631;28.33408172429277
Freienwill;870;131;15.057471264367816
Freigericht;9505;1884;19.8211467648606
Freihung, M;1706;415;24.32590855803048
Freilassing, St;7959;1996;25.078527453197637
Freilingen;303;98;32.34323432343234
Freimersheim;265;90;33.9622641509434
Freimersheim (Pfalz);353;62;17.56373937677054
Freinsheim, Stadt;3346;469;14.01673640167364
Freirachdorf;296;90;30.405405405405407
Freisbach;408;126;30.88235294117647
Freisen;5476;1207;22.04163623082542
Freising, GKSt;26859;2859;10.644476711716743
Freistatt;155;31;20.0
Freital, Stadt;24504;11390;46.48220698661443
Frellstedt;423;135;31.914893617021278
Fremdingen;1447;249;17.208016586040085
Frensdorf;3633;800;22.02036884117809
Freren, Stadt;2366;601;25.401521555367708
Fresenburg;540;77;14.25925925925926
Fresendelf;49;7;14.285714285714286
Frestedt;189;35;18.51851851851852
Frettenheim;142;39;27.464788732394368
Fretterode;105;40;38.095238095238095
Freudenberg;2997;539;17.98465131798465
Freudenberg, Stadt;14443;2669;18.47954026171848
Freudenburg;483;115;23.80952380952381
Freudenstadt, Stadt;12930;3126;24.17633410672854
Freudental;1620;276;17.037037037037038
Freyburg (Unstrut), Stadt;2892;1206;41.70124481327801
Freystadt, St;6286;1095;17.419662742602608
Freyung, St;4289;1024;23.875029144322685
Frickenhausen;5240;1191;22.729007633587788
Frickenhausen a.Main, M;800;123;15.375
Frickingen;2061;392;19.019893255701117
Fridingen an der Donau, Stadt;1883;427;22.676579925650557
Fridolfing;2784;511;18.354885057471265
Friedberg (Hessen), Kreisstadt;16353;2584;15.801382009417232
Friedberg, St;19824;3056;15.415657788539145
Friedeburg;6990;1532;21.9170243204578
Friedelshausen;150;59;39.333333333333336
Friedelsheim;551;98;17.78584392014519
Friedenfels;863;206;23.870220162224797
Friedenweiler;1274;208;16.3265306122449
Friedewald;2074;514;24.783027965284475
Friedland;4910;688;14.012219959266803
Friedland, Stadt;4970;2488;50.06036217303823
Friedrich-Wilhelm-Lübke-Koog;84;12;14.285714285714286
Friedrichroda, Stadt;4492;1761;39.203027604630456
Friedrichsdorf, Philipp-Reis-Stadt;15139;1818;12.008719202060902
Friedrichsgraben;35;3;8.571428571428571
Friedrichshafen, Stadt;32649;7392;22.640815951483965
Friedrichsholm;226;54;23.893805309734514
Friedrichskoog;1226;372;30.34257748776509
Friedrichsruhe;469;258;55.010660980810236
Friedrichstadt, Stadt;1137;244;21.459982409850483
Friedrichsthal, Stadt;6282;1860;29.608404966571154
Friedrichswalde;425;191;44.94117647058823
Frielendorf, Marktflecken;4911;1393;28.36489513337406
Friemar;495;256;51.717171717171716
Friesack, Stadt;1223;631;51.59443990188062
Friesenhagen;593;123;20.741989881956155
Friesenheim;8674;1872;21.581738528937052
Friesenried;1126;176;15.630550621669627
Friesoythe, Stadt;13682;3179;23.234907177313257
Friolzheim;2339;455;19.452757588713126
Frittlingen;1246;300;24.077046548956663
Fritzlar, Dom- und Kaiserstadt;9409;2029;21.56445955999575
Frohburg, Stadt;8356;3446;41.23982766874102
Frohnhofen;198;67;33.83838383838384
Fronhausen;2850;519;18.210526315789473
Fronhofen;96;31;32.291666666666664
Fronreute;3352;624;18.615751789976134
Frontenhausen, M;2738;816;29.802775748721693
Fränkisch-Crumbach;2149;419;19.497440670079108
Fröhnd;343;68;19.825072886297377
Fröndenberg/Ruhr, Stadt;13518;2359;17.450806332297677
Frücht;233;34;14.592274678111588
Fuchshofen;36;6;16.666666666666668
Fuchsmühl, M;1093;238;21.774931381518755
Fuchsstadt;1347;0;0.0
Fuchstal;2870;527;18.362369337979093
Fuhlendorf;659;243;36.874051593323216
Fuhlenhagen;193;32;16.580310880829014
Fulda, Stadt;36587;8393;22.939842020389754
Fuldabrück;5996;1157;19.29619746497665
Fuldatal;8008;1548;19.33066933066933
Furth;2448;449;18.341503267973856
Furth im Wald, St;5248;1497;28.52515243902439
Furtwangen im Schwarzwald, Stadt;4756;782;16.442388561816653
Fußgönheim;1586;286;18.0327868852459
Föckelberg;135;41;30.37037037037037
Föhrden-Barl;149;41;27.516778523489933
Föhren;1025;188;18.341463414634145
Föritztal;5683;2579;45.380960760161884
Fünfseen;549;236;42.98724954462659
Fünfstetten;929;207;22.282023681377826
Fürfeld;712;164;23.03370786516854
Fürstenau, Stadt;4364;1165;26.695692025664528
Fürstenberg;463;111;23.974082073434126
Fürstenberg/Havel, Stadt;3795;1453;38.28722002635046
Fürsteneck;581;145;24.95697074010327
Fürstenfeldbruck, GKSt;19914;2764;13.879682635331926
Fürstenstein;2266;675;29.788172992056488
Fürstenwalde/Spree, Stadt;17957;7026;39.126802918082085
Fürstenzell, M;5459;1112;20.37003114123466
Fürth;75653;13483;17.82216171202728
Fürthen;374;109;29.144385026737968
Füssen, St;8509;1501;17.64014572805265
Gablenz / Jabłońc;834;532;63.78896882494005
Gablingen;3116;571;18.324775353016687
Gabsheim;312;45;14.423076923076923
Gachenbach;1762;339;19.23950056753689
Gackenbach;243;52;21.39917695473251
Gadebusch, Stadt;2060;991;48.10679611650485
Gaggenau, Stadt;16592;3580;21.576663452266153
Gaiberg;1595;252;15.799373040752352
Gaienhofen;2152;275;12.778810408921933
Gaildorf, Stadt;6476;1563;24.13526868437307
Gailingen am Hochrhein;1740;371;21.32183908045977
Gaimersheim, M;7711;1401;18.168849695240567
Gaißach;2159;397;18.38814265863826
Galenbeck;527;281;53.32068311195446
Galenberg;109;22;20.18348623853211
Gallin;273;116;42.49084249084249
Gallin-Kuppentin;237;130;54.85232067510549
Gallmersgarten;492;87;17.682926829268293
Galmsbüll;294;41;13.945578231292517
Gamlen;196;45;22.959183673469386
Gammelby;286;37;12.937062937062937
Gammelin;258;115;44.57364341085271
Gammelsdorf;1029;194;18.853255587949466
Gammelshausen;944;186;19.703389830508474
Gammertingen, Stadt;3537;960;27.14164546225615
Ganderkesee;21743;3721;17.11355378742584
Gandesbergen;271;48;17.71217712177122
Gangelt;7632;1134;14.858490566037736
Gangkofen, M;4097;913;22.284598486697583
Gangloffsömmern;544;294;54.044117647058826
Ganzlin;746;332;44.50402144772118
Gappenach;143;33;23.076923076923077
Garbsen, Stadt;34185;6983;20.427087904051486
Garching a.d.Alz;5026;1471;29.267807401512137
Garching b.München, St;8718;922;10.575820142234457
Gardelegen, Hansestadt;13740;5337;38.842794759825324
Garding, Kirchspiel;156;23;14.743589743589743
Garding, Stadt;1143;201;17.58530183727034
Garlstorf;570;127;22.280701754385966
Garmisch-Partenkirchen, M;15149;2446;16.1462802825269
Garrel;8271;1907;23.056462338290412
Gars a.Inn, M;2522;518;20.539254559873118
Garstedt;703;110;15.647226173541963
Gartow, Flecken;681;123;18.061674008810574
Gartz (Oder), Stadt;894;490;54.80984340044743
Garz;126;95;75.39682539682539
Garz/Rügen, Stadt;995;497;49.949748743718594
Garzau-Garzin;248;105;42.33870967741935
Gattendorf;768;168;21.875
Gau-Algesheim, Stadt;2257;323;14.31103234381923
Gau-Bickelheim;794;182;22.92191435768262
Gau-Bischofsheim;1413;156;11.040339702760084
Gau-Heppenheim;253;80;31.620553359683793
Gau-Odernheim;1395;316;22.65232974910394
Gau-Weinheim;304;56;18.42105263157895
Gauern;79;38;48.10126582278481
Gauersheim;460;156;33.91304347826087
Gaugrehweiler;370;107;28.91891891891892
Gaukönigshofen;1789;271;15.148127445500279
Gaushorn;85;24;28.235294117647058
Gauting;12792;1288;10.068792995622264
Gebenbach;603;124;20.563847429519072
Gebesee, Stadt;1043;500;47.93863854266539
Gebhardshain;482;133;27.593360995850624
Gebroth;63;14;22.22222222222222
Gebsattel;1215;228;18.765432098765434
Gechingen;2315;401;17.32181425485961
Gedern, Stadt;4489;1292;28.78146580530185
Geeste;7750;1209;15.6
Geesthacht, Stadt;17965;3862;21.49735596994155
Geestland, Stadt;20667;4134;20.002903178980983
Gefell;46;6;13.043478260869565
Gefell, Stadt;1597;767;48.0275516593613
Gefrees, St;2873;631;21.963104768534635
Gehlert;238;46;19.327731092436974
Gehlsbach;201;108;53.73134328358209
Gehlweiler;104;33;31.73076923076923
Gehofen;360;202;56.111111111111114
Gehrde;1203;412;34.2477140482128
Gehrden, Stadt;10074;1433;14.224736946595195
Gehrweiler;205;53;25.853658536585368
Geichlingen (einschl. Berscheid);161;17;10.559006211180124
Geiersthal;1490;429;28.79194630872483
Geilenkirchen, Stadt;16601;3598;21.6733931690862
Geilnau;163;36;22.085889570552148
Geisa, Stadt;2375;958;40.33684210526316
Geiselbach;1474;287;19.470827679782904
Geiselberg;289;87;30.103806228373703
Geiselhöring, St;4162;1006;24.171071600192214
Geiselwind, M;1585;362;22.839116719242902
Geisenfeld, St;6837;1612;23.577592511335382
Geisenhain;101;40;39.603960396039604
Geisenhausen, M;4485;870;19.39799331103679
Geisenheim, Hochschulstadt;7219;1213;16.802881285496607
Geisfeld;202;53;26.237623762376238
Geisig;144;30;20.833333333333332
Geisingen, Stadt;3541;878;24.795255577520475
Geisleden;594;247;41.582491582491585
Geislingen an der Steige, Stadt;11962;2693;22.512957699381374
Geislingen, Stadt;3864;1023;26.475155279503106
Geismar;543;193;35.54327808471455
Geithain, Stadt;4326;1664;38.46509477577439
Gelbensande;536;239;44.58955223880597
Gelchsheim, M;581;99;17.03958691910499
Geldern, Stadt;20551;3330;16.20359106612817
Geldersheim;1813;464;25.592939878654164
Gelenau/Erzgeb.;2734;1080;39.50256035113387
Gelenberg (in Bongard enthalten);0;0;
Gelnhausen, Barbarossastadt, Kreisstadt;14175;2516;17.749559082892418
Gelsenkirchen, Stadt;121453;31302;25.7729327394136
Geltendorf;3962;563;14.209994952044422
Gelting;1060;160;15.09433962264151
Geltorf;227;26;11.45374449339207
Gemmerich;164;44;26.829268292682926
Gemmingen;3161;813;25.71970895286302
Gemmrigheim;2535;569;22.445759368836292
Gemünd (in Übereisenbach enthalten);0;0;
Gemünden;727;184;25.30949105914718
Gemünden (Felda);1724;464;26.91415313225058
Gemünden (Wohra), Stadt;2270;635;27.973568281938327
Gemünden a.Main, St;6483;1178;18.170600030849915
Genderkingen;801;173;21.5980024968789
Gengenbach, Stadt;6627;1004;15.150143352950053
Gensingen;1510;357;23.642384105960264
Genthin, Stadt;8228;3166;38.47836655323287
Gentingen (in Roth an der Our enthalten);0;0;
Georgenberg;901;259;28.74583795782464
Georgensgmünd;4681;853;18.222602008117924
Georgenthal;4094;1939;47.36199316072301
Georgsdorf;680;89;13.088235294117647
Georgsmarienhütte, Stadt;20914;2407;11.509037008702304
Gera, Stadt;54101;22857;42.24875695458494
Gerabronn, Stadt;2497;603;24.148978774529436
Gerach;859;246;28.637951105937137
Geratal;5956;2780;46.67562122229684
Geratskirchen;633;135;21.327014218009477
Gerbach;325;55;16.923076923076923
Gerbershausen;310;100;32.25806451612903
Gerbrunn;4295;474;11.036088474970896
Gerbstedt, Stadt;4375;1978;45.21142857142857
Gerdau;765;109;14.248366013071895
Gerdshagen;238;139;58.403361344537814
Geretsried, St;13504;2909;21.541765402843602
Gerhardsbrunn;89;13;14.606741573033707
Gerhardshofen;1743;392;22.48995983935743
Gering;179;55;30.726256983240223
Geringswalde, Stadt;2532;970;38.30963665086888
Gerlingen, Stadt;11465;1386;12.088966419537723
Germaringen;2672;532;19.910179640718564
Germering, GKSt;22226;2627;11.819490686583281
Germersheim, Stadt;8934;3017;33.769867920304456
Gernrode;804;298;37.06467661691542
Gernsbach, Stadt;8359;1729;20.684292379471227
Gernsheim, Schöfferstadt;6523;1242;19.040318871684807
Geroda;126;59;46.82539682539682
Geroda, M;548;0;0.0
Geroldsgrün;1832;378;20.633187772925766
Geroldshausen;945;150;15.873015873015873
Gerolfingen;683;125;18.301610541727673
Gerolsbach;2523;496;19.659135949266744
Gerolsheim;777;233;29.987129987129986
Gerolstein, Stadt;2155;739;34.292343387471
Gerolzhofen, St;4349;905;20.80938146700391
Gersdorf;2544;1114;43.789308176100626
Gersfeld (Rhön), Stadt;3521;1028;29.196251065038343
Gersheim;4412;901;20.42157751586582
Gersten;645;89;13.7984496124031
Gerstenberg;299;163;54.51505016722408
Gerstengrund;42;9;21.428571428571427
Gerstetten;7292;1779;24.396599012616566
Gersthofen, St;12683;2798;22.061026571000554
Gerstungen;5940;2398;40.370370370370374
Gerswalde;734;342;46.59400544959128
Gertewitz;84;52;61.904761904761905
Gerzen;1298;254;19.568567026194145
Geschendorf;322;70;21.73913043478261
Gescher, Glockenstadt;11307;1378;12.187140709295127
Gesees;949;165;17.38672286617492
Geseke, Stadt;13252;3130;23.61907636583157
Geslau;946;181;19.133192389006343
Gessertshausen;2926;544;18.591934381408066
Gestratz;894;173;19.351230425055927
Getelo;219;24;10.95890410958904
Gettorf;3508;423;12.058152793614596
Gevelsberg, Stadt;18559;3320;17.888894875801498
Gevenich;272;63;23.16176470588235
Gevensleben;314;92;29.29936305732484
Geyer, Stadt;2300;1138;49.47826086956522
Giebelstadt, M;3363;710;21.11210228962236
Gieboldehausen, Flecken;1709;479;28.02808660035108
Giekau;542;86;15.867158671586715
Gieleroth;228;85;37.280701754385966
Gielert;62;18;29.032258064516128
Gielow;541;278;51.386321626617374
Giengen an der Brenz, Stadt;9989;3018;30.213234558013816
Gierschnach;122;41;33.60655737704918
Giershausen;41;12;29.26829268292683
Giersleben;608;299;49.17763157894737
Gierstädt;455;195;42.857142857142854
Giesdorf;53;13;24.528301886792452
Giesen;6615;1143;17.27891156462585
Giesenhausen;124;29;23.387096774193548
Giesensdorf;58;9;15.517241379310345
Gießen, Universitätsstadt;48714;6271;12.873096029888739
Gifhorn, Stadt;24033;5603;23.313776890109434
Gilching;11385;1464;12.859025032938076
Gillenbeuren;105;26;24.761904761904763
Gillenfeld;425;76;17.88235294117647
Gilserberg;1984;516;26.008064516129032
Gilten;625;114;18.24
Gilzem;171;25;14.619883040935672
Gimbsheim;947;313;33.051742344244985
Gimbweiler;189;46;24.33862433862434
Gindorf;127;30;23.62204724409449
Gingen an der Fils;2794;618;22.11882605583393
Gingst;527;265;50.284629981024665
Ginsheim-Gustavsburg, Stadt;8984;1568;17.45325022261799
Ginsweiler;117;39;33.333333333333336
Gipperath;100;11;11.0
Girkenroth;260;60;23.076923076923077
Girod;477;119;24.947589098532493
Gladbach;151;41;27.1523178807947
Gladbeck, Stadt;39906;9057;22.695835212749962
Gladenbach, Stadt;7345;1676;22.818243703199457
Glan-Münchweiler;413;112;27.11864406779661
Glanbrücken;201;63;31.34328358208955
Glandorf;4360;447;10.252293577981652
Glasau;503;95;18.88667992047714
Glasewitz;195;81;41.53846153846154
Glashütte, Stadt;4502;2309;51.288316303864946
Glashütten;4290;711;16.573426573426573
Glasin;352;212;60.22727272727273
Glasow;63;35;55.55555555555556
Glattbach;2291;353;15.408118725447403
Glatten;1575;495;31.428571428571427
Glaubitz;1260;668;53.01587301587302
Glauburg;2020;428;21.18811881188119
Glauchau, Stadt;13919;5101;36.647747683023205
Glees;202;46;22.77227722772277
Gleichen;6300;682;10.825396825396826
Gleina;768;298;38.802083333333336
Gleiritsch;449;101;22.494432071269486
Gleisweiler;216;35;16.203703703703702
Gleiszellen-Gleishorbach;220;42;19.09090909090909
Gleißenberg;619;165;26.65589660743134
Glewitz;244;152;62.295081967213115
Glienicke/Nordbahn;8846;1907;21.557766222021254
Glinde, Stadt;10648;1915;17.984598046581517
Glonn, M;3146;446;14.17673235855054
Glottertal;2118;305;14.400377714825307
Glowe, Ostseebad;415;190;45.78313253012048
Glött;736;152;20.652173913043477
Glücksburg (Ostsee), Stadt;4313;440;10.201715743102248
Glückstadt, Stadt;6743;1117;16.565327005783775
Glüsing;65;8;12.307692307692308
Gmund a.Tegernsee;3972;607;15.281973816717018
Gnarrenburg;6179;1088;17.608027188865513
Gneus;86;38;44.18604651162791
Gneven;202;56;27.722772277227723
Gnevkow;162;91;56.17283950617284
Gnewitz;123;62;50.40650406504065
Gnoien, Warbelstadt;1202;649;53.993344425956735
Gnotzheim, M;613;121;19.73898858075041
Gnutz;717;148;20.641562064156208
Goch, Stadt;19693;3606;18.311075001269487
Gochsheim;3830;919;23.994778067885118
Goddert;172;47;27.325581395348838
Godendorf;142;75;52.816901408450704
Gohrisch;1258;705;56.04133545310016
Gokels;290;57;19.655172413793103
Golchen;162;91;56.17283950617284
Goldbach, M;6410;962;15.007800312012481
Goldbeck;916;340;37.11790393013101
Goldberg, Stadt;1434;657;45.81589958158996
Goldebek;223;46;20.62780269058296
Goldelund;252;51;20.238095238095237
Goldenstedt;6178;1143;18.501133052767887
Goldisthal;209;121;57.89473684210526
Goldkronach, St;2496;470;18.830128205128204
Gollenberg;285;112;39.29824561403509
Gollhofen;576;83;14.409722222222221
Golmbach;502;106;21.115537848605577
Golmsdorf;418;163;38.995215311004785
Golzow;1024;411;40.13671875
Golßen, Stadt;1594;711;44.604767879548305
Gomadingen;1512;288;19.047619047619047
Gomaringen;5610;978;17.433155080213904
Gommern, Stadt;6976;2645;37.91571100917431
Gommersheim;533;146;27.392120075046904
Gonbach;164;32;19.51219512195122
Gondelsheim;2363;607;25.687685146000845
Gondenbrett;138;20;14.492753623188406
