Gemeinde;Gemeindename;Erststimmen;AfD - Erststimmen;%AFD
8;Beggerow;250;130;52.0
8;Behlendorf;234;48;20.512820512820515
8;Behrenhoff;452;219;48.45132743362832
8;Beilstein, Stadt;3886;759;19.531652084405557
8;Belgweiler;75;19;25.333333333333332
8;Bell;970;193;19.896907216494846
8;Belm;8309;1916;23.059333253099048
8;Belsch;135;55;40.74074074074074
8;Bempflingen;2136;427;19.99063670411985
8;Bergheim, Stadt;33665;6943;20.623793257091936
8;Bermersheim vor der Höhe;169;35;20.71005917159763
8;Bernkastel-Kues, Stadt;1726;350;20.278099652375435
8;Berschweiler bei Baumholder;194;76;39.175257731958766
8;Bestwig;6283;986;15.693140219640298
8;Betzendorf;553;96;17.359855334538878
8;Beuren;203;41;20.19704433497537
8;Beuren (Hochwald);346;90;26.01156069364162
8;Beverungen, Stadt;8516;1518;17.825270079849695
8;Billerbeck, Stadt;8159;823;10.087020468194632
8;Bingen;1823;446;24.46516730663741
8;Binzen;1958;250;12.768130745658835
8;Birken-Honigsessen;1747;287;16.428162564396107
8;Birkenhördt;226;69;30.530973451327434
8;Bischofroda;342;172;50.292397660818715
8;Bisingen;5774;1517;26.272947696570835
8;Bisterschied;154;38;24.675324675324674
8;Blankenhain, Stadt;4210;1878;44.60807600950119
8;Blankenheim;5558;1018;18.315940985966176
8;Blaufelden;3228;768;23.79182156133829
8;Bleckhausen;118;24;20.338983050847457
8;Bobitz;1298;532;40.98613251155624
8;Bocholt, Stadt;45111;5989;13.2761410742391
8;Bockenem, Stadt;6269;1782;28.425586217897592
8;Bokholt-Hanredder;681;106;15.565345080763583
8;Borstel;595;73;12.268907563025211
8;Borxleben;160;93;58.125
8;Brahmenau;550;271;49.27272727272727
8;Bremervörde, Stadt;11442;1981;17.31340674707219
8;Brest;452;104;23.008849557522122
8;Bruchhausen;391;50;12.787723785166241
8;Bubenheim;307;58;18.892508143322477
8;Bucha;638;219;34.32601880877743
8;Buchheim;499;132;26.452905811623246
8;Buchholz;377;93;24.6684350132626
8;Burbach;8419;1882;22.354198835966265
8;Burscheid, Stadt;11709;1956;16.7050986420702
8;Bärenbach;227;52;22.90748898678414
8;Böklund;687;166;24.16302765647744
8;Bönebüttel;1477;291;19.70209884901828
8;Bönen;10479;2233;21.309285237140948
8;Börsborn;177;62;35.02824858757062
8;Bühlertal;4774;952;19.941348973607038
8;Bühren;307;43;14.006514657980455
8;Bülkau;495;80;16.161616161616163
8;Dackenheim;320;64;20.0
8;Datteln, Stadt;20601;4354;21.134896364254164
8;Daubach;191;21;10.99476439790576
8;Delligsen, Flecken;5119;954;18.636452432115647
8;Denkte;1456;238;16.346153846153847
8;Diemelstadt, Stadt;3245;619;19.075500770416024
8;Dingsleben;140;70;50.0
8;Dinslaken, Stadt;41921;7539;17.9838267216908
8;Dornheim;336;192;57.142857142857146
8;Drestedt;437;106;24.25629290617849
8;Drolshagen, Stadt;7800;1399;17.935897435897434
8;Dörpen;2449;553;22.580645161290324
8;Düren, Stadt;46894;10181;21.71066660980083
8;Ebsdorfergrund;6434;1263;19.63009014609885
8;Ehra-Lessien;943;286;30.328738069989395
8;Ehringshausen;5508;1525;27.68700072621641
8;Eldingen;1076;231;21.46840148698885
8;Emmendorf;377;92;24.40318302387268
8;Emmerich am Rhein, Stadt;14513;2184;15.04857713773858
8;Emsdetten, Stadt;23599;2742;11.61913640408492
8;Engelskirchen;12567;2076;16.519455717354976
8;Enger, Widukindstadt;13011;2618;20.121435708246867
8;Ennepetal, Stadt der Kluterthöhle;17913;3911;21.833305420644226
8;Eppenbrunn;348;106;30.45977011494253
8;Espelkamp, Stadt;13747;4163;30.28297082999927
8;Filsum;1235;260;21.05263157894737
8;Flieden;5992;1458;24.332443257676903
8;Flörsbachtal;1605;430;26.79127725856698
